Skater,Height,Weight,Position,Last Amateur Club,League,7/11/2022,11/15/2022,1/31/2023,3/7/2023,8/8/2022,11/1/2022,3/1/2023,9/29/2022,11/30/2022,1/10/2023,3/28/2023,9/22/2022,1/23/2023,9/20/2022,12/23/2022,4/19/2023,12/19/2022,1/17/2023,3/23/2023,12/19/2022,11/3/2022,8/23/2022,1/19/2023,2/8/2023,3/31/2023,10/19/2022,11/16/2022,12/14/2022,1/18/2023,2/15/2023,3/15/2023,4/12/2023,11/8/2022,1/31/2023,10/3/2022,1/26/2023,4/20/2023,11/25/2022,3/9/2023,2/9/2023,11/7/2022,1/12/2023,1/16/2023,5/1/2023,5/3/2023,10/11/2022,12/15/2022,4/25/2023,5/5/2023,5/5/2023,5/5/2023,5/2/2023,12/15/2022,2/6/2023,5/12/2023,5/11/2023,5/15/2023,5/17/2023,5/18/2023,5/28/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/5/2023,6/5/2023,6/6/2023
"LANDEN, AXEL","6' 1""",185,DEFENSEMAN,HV 71 JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,118,,126,,,,,190
"PETTERSSON, HUGO","6' 0""",180,LEFT WING,HV 71 JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
"MILLER, QUENTIN","6' 2""",183,GOALIE,QUEBEC,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192
"ALRIKSSON, VILMER","6' 6""",214,LEFT WING,DJURGARDEN JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
"KUKUMBERG, ROMAN","6' 0""",183,LEFT WING,BRATISLAVA,SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194
"HELLNEMO, ALEXANDER","6' 2""",183,GOALIE,SKELLEFTEA JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,88,195
"CEDZO, ADAM","5' 10""",163,LEFT WING,TRINEC JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
"HEDQVIST, ISAC","5' 9""",158,CENTER,LULEA JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,105,,,,,,107,199
"CARLSSON, KALLE","6' 0""",172,CENTER,OREBRO JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,56,79,,,,,,,,,,,,,,,,,,,,200
"PORT, VOJTECH","6' 2""",168,DEFENSEMAN,EDMONTON,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,91,201
"REMEZOVSKIY, IVAN","6' 1""",167,DEFENSEMAN,SKA ST. PETERSBURG JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
"OUTWATER, OWEN","6' 2""",161,CENTER,KINGSTON,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
"ADAMS, TANNER","5' 11""",184,RIGHT WING,TRI-CITY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,43,,,,,82,,,,,,,69,,,,,70,166,,127,,,,,204
"SPUNAR, JAN","6' 3""",185,GOALIE,PORTLAND,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
"CONMY, RYAN","5' 10""",188,RIGHT WING,SIOUX CITY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,206
"HANSON, TY","5' 9""",175,DEFENSEMAN,SIOUX CITY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
"POHLKAMP, ERIC","5' 10""",201,DEFENSEMAN,CEDAR RAPIDS,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,209
"CLARK, JAMES","6' 0""",179,LEFT WING,GREEN BAY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,210
"URBAN, SAMUEL","6' 1""",196,GOALIE,SIOUX CITY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,143,,,,,,,211
"ST. DENIS, MAEL","6' 0""",187,CENTER,RIMOUSKI,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212
"DEANGELO, MICHAEL","5' 11""",180,LEFT WING,GREEN BAY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,159,,,,,,,214
"BEAUDRY, MARC-OLIVIER","6' 0""",174,DEFENSEMAN,DRUMMONDVILLE,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
"SVENSSON, JOEL","6' 1""",183,CENTER,VAXJO JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
"PECK, STEPHEN","6' 2""",170,GOALIE,AVON OLD FARMS,HIGH-CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,220
"SJOHOLM, VICTOR","5' 9""",178,DEFENSEMAN,HV 71,SWEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,223
"FOSTER, COOPER","5' 11""",172,CENTER,OTTAWA,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224
"BURCHILL, MICHAEL","5' 10""",154,RIGHT WING,DUBUQUE,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,134,225
"TOPILNYCKYJ, ANTON","6' 2""",177,DEFENSEMAN,CHARLOTTETOWN,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228
"KANGAS, KALLE","6' 4""",205,DEFENSEMAN,JOKERIT JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
"MALINOSKI, HUDSON","6' 0""",175,CENTER,BROOKS,AJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,96,,,,,231
"WORMALD, LOGAN","5' 10""",144,LEFT WING,LETHBRIDGE,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233
"CELEBRINI, AIDEN","6' 1""",187,DEFENSEMAN,BROOKS,AJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235
"TULK, OLIVER","5' 7""",170,CENTER,CALGARY,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,74,,,,,,,,,,,,,,180,,,,,,,236
"ROMEO, LUCAS","6' 2""",195,RIGHT WING,CHARLOTTETOWN,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
"ERIKSSON, FILIP","6' 0""",172,CENTER,VAXJO JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239
"HELLBERG, HANNES","6' 1""",185,RIGHT WING,LEKSAND JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,86,,,,,240
"DYBAL, ADAM","6' 1""",166,GOALIE,KARLOVY VARY JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,241
"DAY, NATHANIEL","6' 2""",181,GOALIE,FLINT,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242
"JUNKKARI, JIMI","6' 1""",178,DEFENSEMAN,PELICANS JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243
"FELCMAN, JIRI","6' 4""",198,CENTER,LANGNAU JR.,SWISS-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244
"RIX, ELIS","6' 2""",198,LEFT WING,VAXJO JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245
"MATEJICEK, MARTIN","6' 1""",205,DEFENSEMAN,JIHLAVA JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247
"GUZZO, SALVATORE","6' 0""",185,RIGHT WING,USA U-18,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248
"KOCI, MATTEO","6' 0""",176,DEFENSEMAN,KARLOVY VARY JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249
"LUNDGREN, MAX","6' 4""",234,GOALIE,DES MOINES,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,251
"MEIER, SIMON","5' 8""",150,CENTER,KLOTEN JR.,SWISS-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252
"LACROIX, ANDREW","6' 0""",192,CENTER,CHILLIWACK,BCHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253
"WILLIS, JOEY","5' 10""",170,CENTER,SAGINAW,OHL,,,,,,,,,,,,,,,,,32,41,41,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,73,,,,,,,,,,,146,75,,,,,49,254
"CLEVELAND, BRADY","6' 5""",211,DEFENSEMAN,USA U-18,NTDP,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,55,51,,,75,97,121,,114,68,94,,120,257
"DEJ, FRANTISEK","6' 4""",200,CENTER,MODRE KRIDLA SLOVAN,SLOVAKIA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,212,,104,,,,,259
"HELL, HUGO","6' 0""",176,DEFENSEMAN,FARJESTAD JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
"SLUKYNSKY, HAMPTON","6' 1""",179,GOALIE,WARROAD,HIGH-MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,262
"HES, LUKAS","6' 3""",187,RIGHT WING,ZLIN JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,263
"DAVIAULT, ALEXIS","5' 11""",177,DEFENSEMAN,ERIE,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266
"BORN, ISAC","6' 0""",176,CENTER,FROLUNDA,SWEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,269
"SCHNELLER, ERIC","5' 11""",183,DEFENSEMAN,ROGLE JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"STAHLBERG, ELLIOT","6' 0""",183,LEFT WING,FARJESTAD JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,271
"YLITALO, OTSO","6' 3""",176,LEFT WING,KARPAT JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274
"HOPKINS, RYAN","6' 1""",183,DEFENSEMAN,PENTICTON,BCHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275
"KORPI, CAMERON","6' 2""",153,GOALIE,TRI-CITY,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277
"SAGRANDEN, LUKAS","5' 8""",161,RIGHT WING,OREBRO JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278
"SEVER, MARK","5' 11""",170,LEFT WING,KLOTEN JR.,SWISS-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281
"OZOLS, AKSELS","6' 1""",155,GOALIE,HS RIGA,LATVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284
"VOLAS, PATRIK","6' 4""",209,DEFENSEMAN,TRINEC JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286
"BICKER, KEVIN","6' 0""",176,LEFT WING,MANNHEIM JR.,GERMANY-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287
"RULLERS, RAINERS","6' 4""",194,CENTER,ZEMGALE,FINLAND-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288
"VALIS, BORYA","6' 1""",182,RIGHT WING,REGINA,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289
"CLARA, DAMIAN","6' 6""",214,GOALIE,FARJESTAD JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,137,,,,83,291
"MANTEI, QUINN","6' 0""",180,DEFENSEMAN,BRANDON,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,292
"MCCOY, DONOVAN","6' 0""",200,DEFENSEMAN,PETERBOROUGH,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,75,,,,,,,,,,,,,,,,,,,,122,293
"JATKOLA, JUHA","6' 1""",176,GOALIE,KALPA,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,94,294
"RIDE, BRONSON","6' 6""",201,DEFENSEMAN,NIAGARA,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
"ROMANI, ANTHONY","6' 0""",178,CENTER,NORTH BAY,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296
"BARCIK, SAMUEL","6' 2""",191,DEFENSEMAN,ZVOLEN,SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297
"UNGER, JACKSON","6' 1""",179,GOALIE,MOOSE JAW,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
"MCCARTHY, GAVIN","6' 2""",185,DEFENSEMAN,MUSKEGON,USHL,,,,30,,49,,,,,,,75,,,,,,,,,39,,,,,,,,,,,,83,,,51,,,,,60,46,,,,,78,,51,,,,,83,,,,81,,95,51,53,,48,77,70,
"DIONICIO, RODWIN","6' 2""",207,DEFENSEMAN,WINDSOR,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,172,,,,,,90,
"DELL'ELCE, FRANCESCO","6' 0""",165,DEFENSEMAN,ST. ANDREWS COLLEGE,HIGH-ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,99,,,,,93,
"KNUBLE, COLE","5' 11""",184,CENTER,FARGO,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,80,,,,87,125,83,,,,,106,
"NEHRING, ZACH","6' 3""",179,RIGHT WING,SHATTUCK - ST.MARY'S PREP,HIGH-MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,87,,,99,116,
"ST. LOUIS, LUCAS","5' 10""",164,DEFENSEMAN,DUBUQUE,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,
"WEIERMAIR, ALEXANDER","6' 1""",190,CENTER,USA U-18,NTDP,,,,,,53,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,126,
"CASTAGNA, JONATHAN","6' 1""",183,CENTER,ST. ANDREWS COLLEGE,HIGH-ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,165,,,,,,127,
"FORTESCUE, DREW","6' 1""",176,DEFENSEMAN,USA U-18,NTDP,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,,,,,,,,,76,,,,82,,120,,96,,,
"CERRATO, CHARLIE","5' 11""",185,CENTER,USA U-17,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,
"KARPOVICH, DANIIL","6' 3""",209,DEFENSEMAN,YEKATERINBURG JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,85,,,,,,,,,,,,,137,,47,,,,,
"RIMASHEVSKIY, YEGOR","6' 2""",197,RIGHT WING,DYNAMO MOSCOW JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,67,,,,,
"OSCARSON, MILTON","6' 6""",216,CENTER,OREBRO,SWEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,
"FABRIZI, MATTEO","6' 5""",238,DEFENSEMAN,RED DEER,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,
"VOLOCHKO, KONSTANTIN","6' 0""",170,DEFENSEMAN,DINAMO-SHINNIK JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,115,,,,,
"KEENAN, LARRY","6' 3""",185,DEFENSEMAN,CULVER ACADEMY,HIGH-IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,99,,123,,,,,
"LARSSON, RASMUS","6' 3""",200,DEFENSEMAN,VASTERAS JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,
"SMITH, KONNOR","6' 5""",208,DEFENSEMAN,PETERBOROUGH,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,
"NEDOPEKIN, NIKITA","5' 10""",187,CENTER,SKA ST. PETERSBURG JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,128,,,,,
"ISHIMNIKOV, NIKITA","6' 3""",194,DEFENSEMAN,YEKATERINBURG JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,129,,,,,
"MOROZ, VADIM","6' 2""",185,RIGHT WING,MINSK,RUSSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,130,,,,,
"KASHTANOV, ARTYOM","6' 6""",190,CENTER,YEKATERINBURG JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,136,,,,,
"ANOSHKO, IVAN","5' 11""",167,CENTER,DINAMO-SHINNIK JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,141,,,,,
"KHAZHEYEV, RUSLAN","6' 4""",201,GOALIE,CHELYABINSK JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,142,,,,,
"HANZEL, JEREMY","6' 1""",196,DEFENSEMAN,SEATTLE,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,
"HENRICKS, TY","6' 4""",205,LEFT WING,MUSKEGON,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,
"CONNOR, JOSEPH","5' 10""",175,LEFT WING,AVON OLD FARMS,HIGH-CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,
"COPPONI, MATT","5' 10""",167,CENTER,MERRIMACK,H-EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,
"WISDOM, ZACCHARYA","6' 0""",175,RIGHT WING,CEDAR RAPIDS,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,
"SCHERZER, IAN","6' 0""",183,CENTER,ROGLE JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,
"HAY, ETHAN","6' 1""",189,CENTER,FLINT,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,
"KIPKIE, JUSTIN","6' 3""",195,DEFENSEMAN,VICTORIA,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,
"ANDERSON, HUNTER","5' 9""",176,LEFT WING,SHATTUCK - ST.MARY'S PREP,HIGH-MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,72,,,,,,,,,,,,,,178,,,,,,,
"SOVA, SPENCER","6' 0""",185,DEFENSEMAN,ERIE,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,
"JELSMA, BEAU","5' 9""",174,CENTER,BARRIE,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,
"YAROVOI, STANISLAV","5' 11""",190,RIGHT WING,VITYAZ,RUSSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,
"JESSLI, ARON","6' 0""",183,LEFT WING,PICKERING,OJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,
"FAUCHON, JONATHAN","5' 10""",170,CENTER,BLAINVILLE-BOISBRIAND,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,
"VALI, NOA","6' 0""",159,GOALIE,TPS JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MATECHA, LUKAS","6' 3""",187,GOALIE,PARDUBICE JR.,CZECHIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VEDENPAA, VISA","6' 2""",170,GOALIE,KARPAT JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
