Skater,Height,Weight,Position,Last Amateur Club,League,7/11/2022,11/15/2022,1/31/2023,3/7/2023,8/8/2022,11/1/2022,3/1/2023,9/29/2022,11/30/2022,1/10/2023,3/28/2023,9/22/2022,1/23/2023,9/20/2022,12/23/2022,4/19/2023,12/19/2022,1/17/2023,3/23/2023,12/19/2022,11/3/2022,8/23/2022,1/19/2023,2/8/2023,3/31/2023,10/19/2022,11/16/2022,12/14/2022,1/18/2023,2/15/2023,3/15/2023,4/12/2023,11/8/2022,1/31/2023,10/3/2022,1/26/2023,4/20/2023,11/25/2022,3/9/2023,2/9/2023,11/7/2022,1/12/2023,1/16/2023,5/1/2023,5/3/2023,10/11/2022,12/15/2022,4/25/2023,5/5/2023,5/5/2023,5/5/2023,5/2/2023,12/15/2022,2/6/2023,5/12/2023,5/11/2023,5/15/2023,5/17/2023,5/18/2023,5/28/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/5/2023,6/5/2023,6/6/2023
"MOLENDYK, TANNER","6' 0""",182,DEFENSEMAN,SASKATOON,WHL,,,19,20,,,40,,41,39,52,,62,,,49,,51,40,33,,35,,,,,,,,,,,,52,,66,46,26,37,28,,48,29,,25,63,35,29,,48,,37,,40,21,25,58,,48,40,38,48,25,29,27,42,39,34
"NADEAU, BRADLY","5' 10""",161,LEFT WING,PENTICTON,BCHL,,,29,28,,42,26,,30,31,24,,36,,,55,,34,48,23,,,,,40,,,,,,,,31,41,,53,43,32,30,33,,,,23,35,,69,42,,46,38,34,,32,29,52,45,,35,32,27,46,36,38,39,22,35,35
"HONZEK, SAMUEL","6' 4""",186,LEFT WING,VANCOUVER,WHL,,25,11,10,,61,27,,22,22,22,,19,,32,23,21,22,15,38,,,29,18,15,,,,15,13,13,10,48,33,,23,13,,29,46,,26,,25,12,,68,26,,14,15,22,,20,30,41,21,10,29,24,18,16,13,44,19,25,20,36
"WILLANDER, TOM","6' 1""",180,DEFENSEMAN,ROGLE JR.,SWEDEN-JR.,,,,,,,51,,26,15,16,,46,,,39,,39,32,,,,,27,24,,,,,,,,,42,,47,29,,54,61,,51,,,15,,79,37,,30,20,38,,56,23,27,8,18,30,35,23,30,15,17,17,27,23,37
"AKEY, BEAU","6' 0""",173,DEFENSEMAN,BARRIE,OHL,,,,,,,,,44,47,76,,55,,,,,40,33,45,,,,,,,,,,,,,41,38,,55,33,,27,55,,52,,,,58,59,46,,35,49,57,,49,88,61,94,,61,34,48,35,50,56,61,61,32,38
"CATAFORD, MATHIEU","5' 11""",190,CENTER,HALIFAX,QMJHL,,,,,,35,43,,38,28,30,,45,,41,,,61,,,,,,,50,,,,,,,,34,47,,68,58,,,36,,,,,,,55,56,,58,37,,,61,90,,47,,72,,56,60,57,84,63,48,81,39
"MOLGAARD, OSCAR FISKER","6' 0""",163,CENTER,HV 71,SWEDEN,,,,,,,,,,,,,,,,26,,26,24,,,,,,,,,,,,,,,81,,,47,,35,38,,,,,36,,,,,42,,43,,41,50,18,40,,67,28,46,40,37,24,46,39,28,40
"MUKHANOV, TIMUR","5' 7""",178,LEFT WING,OMSK JR.,RUSSIA-JR.,,,,,,,,,,,,,,,50,41,27,27,34,39,,,,,,,,,,,,,,39,,51,,,20,43,,37,28,,,,,,,,,54,,,73,17,,,,25,98,43,132,22,,,57,41
"PRICE, CADEN","6' 0""",185,DEFENSEMAN,KELOWNA,WHL,,26,,,30,26,37,26,46,46,42,,38,29,17,27,,38,29,32,,,,,,22,,,,,,,24,27,20,46,37,20,43,41,19,32,,,,,32,36,,39,,42,30,38,91,54,57,,73,50,60,39,51,70,47,46,37,42
"BONK, OLIVER","6' 2""",180,DEFENSEMAN,LONDON,OHL,,,25,24,,,56,32,31,30,37,,30,,,,,,65,,,,26,33,36,,,,29,26,30,19,,37,,39,26,,,83,,28,,,26,,76,28,,26,34,41,,36,48,,43,20,25,86,35,26,26,51,26,41,56,43
